;titles;years;category
401;Df-gan: Deep fusion generative adversarial networks for text-to-image synthesis; 2020 ;Generative Adversarial Networks
402;Using wasserstein generative adversarial networks for the design of monte carlo simulations; 2021 ;Generative Adversarial Networks
403;Statistical parametric speech synthesis incorporating generative adversarial networks; 2017 ;Generative Adversarial Networks
404;IGAN-IDS: An imbalanced generative adversarial network towards intrusion detection system in ad-hoc networks; 2020 ;Generative Adversarial Networks
405;[PDF] WAV2PIX: Speech-conditioned Face Generation using Generative Adversarial Networks.; 2019 ;Generative Adversarial Networks
406;On enhancing speech emotion recognition using generative adversarial networks; 2018 ;Generative Adversarial Networks
407;Image denoising using a generative adversarial network; 2019 ;Generative Adversarial Networks
408;Generative adversarial networks in medical image augmentation: a review; 2022 ;Generative Adversarial Networks
409;Image fusion based on generative adversarial network consistent with perception; 2021 ;Generative Adversarial Networks
410;mustGAN: multi-stream generative adversarial networks for MR image synthesis; 2021 ;Generative Adversarial Networks
411;Arigan: Synthetic arabidopsis plants using generative adversarial network; 2017 ;Generative Adversarial Networks
412;Flexigan: An end-to-end solution for fpga acceleration of generative adversarial networks; 2018 ;Generative Adversarial Networks
413;[HTML] A de novo molecular generation method using latent vector based generative adversarial network; 2019 ;Generative Adversarial Networks
414;Fedgan: Federated generative adversarial networks for distributed data; 2020 ;Generative Adversarial Networks
415;[PDF] E2gan: End-to-end generative adversarial network for multivariate time series imputation; 2019 ;Generative Adversarial Networks
416;Image difficulty curriculum for generative adversarial networks (CuGAN); 2020 ;Generative Adversarial Networks
417;A review of generative adversarial networks in cancer imaging: new applications, new solutions; 2021 ;Generative Adversarial Networks
418;Auto-embedding generative adversarial networks for high resolution image synthesis; 2019 ;Generative Adversarial Networks
419;Wideband channel estimation with a generative adversarial network; 2021 ;Generative Adversarial Networks
420;Boosting deep learning risk prediction with generative adversarial networks for electronic health records; 2017 ;Generative Adversarial Networks
421;The Role of generative adversarial network in medical image analysis: an in-depth survey; 2022 ;Generative Adversarial Networks
422;Efficient and accurate MRI super-resolution using a generative adversarial network and 3D multi-level densely connected network; 2018 ;Generative Adversarial Networks
423;Logo synthesis and manipulation with clustered generative adversarial networks; 2018 ;Generative Adversarial Networks
424;Attentive generative adversarial network for raindrop removal from a single image; 2018 ;Generative Adversarial Networks
425;Multiview generative adversarial network and its application in pearl classification; 2018 ;Generative Adversarial Networks
426;Audio codec enhancement with generative adversarial networks; 2020 ;Generative Adversarial Networks
427;Generative adversarial networks and conditional random fields for hyperspectral image classification; 2019 ;Generative Adversarial Networks
428;Traffic flow imputation using parallel data and generative adversarial networks; 2019 ;Generative Adversarial Networks
429;Group equivariant generative adversarial networks; 2020 ;Generative Adversarial Networks
430;Augmenting image classifiers using data augmentation generative adversarial networks; 2018 ;Generative Adversarial Networks
431;Towards accurate segmentation of retinal vessels and the optic disc in fundoscopic images with generative adversarial networks; 2019 ;Generative Adversarial Networks
432;An enhancing framework for botnet detection using generative adversarial networks; 2018 ;Generative Adversarial Networks
433;Progan: Network embedding via proximity generative adversarial network; 2019 ;Generative Adversarial Networks
434;Generative Adversarial Networks (GANs) in networking: A comprehensive survey & evaluation; 2021 ;Generative Adversarial Networks
435;Semi-supervised generative adversarial network for gene expression inference; 2018 ;Generative Adversarial Networks
436;Recurrent generative adversarial network for face completion; 2020 ;Generative Adversarial Networks
437;Reducing autocorrelation times in lattice simulations with generative adversarial networks; 2020 ;Generative Adversarial Networks
438;On the effects of batch and weight normalization in generative adversarial networks; 2017 ;Generative Adversarial Networks
439;Recent advances of image steganography with generative adversarial networks; 2020 ;Generative Adversarial Networks
440;Generating realistic geology conditioned on physical measurements with generative adversarial networks; 2018 ;Generative Adversarial Networks
441;Generative adversarial networks for the creation of realistic artificial brain magnetic resonance images; 2018 ;Generative Adversarial Networks
442;Physics-informed generative adversarial networks for stochastic differential equations; 2020 ;Generative Adversarial Networks
443;Illuminating mario scenes in the latent space of a generative adversarial network; 2021 ;Generative Adversarial Networks
444;Sergan: Speech enhancement using relativistic generative adversarial networks with gradient penalty; 2019 ;Generative Adversarial Networks
445;[PDF] An error analysis of generative adversarial networks for learning distributions; 2022 ;Generative Adversarial Networks
446;Detecting deceptive reviews using generative adversarial networks; 2018 ;Generative Adversarial Networks
447;Seggan: Semantic segmentation with generative adversarial network; 2018 ;Generative Adversarial Networks
448;TomoGAN: low-dose synchrotron x-ray tomography with generative adversarial networks: discussion; 2020 ;Generative Adversarial Networks
449;Topogan: A topology-aware generative adversarial network; 2020 ;Generative Adversarial Networks
450;Dual discriminator generative adversarial network for video anomaly detection; 2020 ;Generative Adversarial Networks
451;G-GANISR: Gradual generative adversarial network for image super resolution; 2019 ;Generative Adversarial Networks
452;An inhomogeneous background imaging method based on generative adversarial network; 2020 ;Generative Adversarial Networks
453;Optimizing distributions over molecular space. An objective-reinforced generative adversarial network for inverse-design chemistry (ORGANIC); GL Guimaraes… ;Generative Adversarial Networks
454;[HTML] RANDGAN: randomized generative adversarial network for detection of COVID-19 in chest X-ray; 2021 ;Generative Adversarial Networks
455;Seismic facies classification using supervised convolutional neural networks and semisupervised generative adversarial networks; 2020 ;Generative Adversarial Networks
456;Beautygan: Instance-level facial makeup transfer with deep generative adversarial network; 2018 ;Generative Adversarial Networks
457;Learning semantic-aware normalization for generative adversarial networks; 2020 ;Generative Adversarial Networks
458;Compressive privacy generative adversarial network; 2020 ;Generative Adversarial Networks
459;Label-noise robust generative adversarial networks; 2019 ;Generative Adversarial Networks
460;Seismic data reconstruction with generative adversarial networks; 2018 ;Generative Adversarial Networks
461;Low-dose CT image denoising using a generative adversarial network with Wasserstein distance and perceptual loss; 2018 ;Generative Adversarial Networks
462;Underwater image enhancement based on conditional generative adversarial network; 2020 ;Generative Adversarial Networks
463;Time-frequency masking-based speech enhancement using generative adversarial network; 2018 ;Generative Adversarial Networks
464;Generative Adversarial Networks and Other Generative Models; 2022 ;Generative Adversarial Networks
465;Generative adversarial network in the air: Deep adversarial learning for wireless signal spoofing; 2020 ;Generative Adversarial Networks
466;Reconstruction of porous media from extremely limited information using conditional generative adversarial networks; 2019 ;Generative Adversarial Networks
467;Improving road semantic segmentation using generative adversarial network; 2021 ;Generative Adversarial Networks
468;[HTML] Self-regulation: Employing a generative adversarial network to improve event detection; 2018 ;Generative Adversarial Networks
469;Sod-mtgan: Small object detection via multi-task generative adversarial network; 2018 ;Generative Adversarial Networks
470;Multi-view generative adversarial networks; 2017 ;Generative Adversarial Networks
471;Automated structural design of shear wall residential buildings using generative adversarial networks; 2021 ;Generative Adversarial Networks
472;Learning to distort images using generative adversarial networks; 2020 ;Generative Adversarial Networks
473;Discovering state‐parameter mappings in subsurface models using generative adversarial networks; 2018 ;Generative Adversarial Networks
474;A generative adversarial network approach to (ensemble) weather prediction; 2021 ;Generative Adversarial Networks
475;Style-based quantum generative adversarial networks for Monte Carlo events; 2021 ;Generative Adversarial Networks
476;Joint registration and segmentation of xray images using generative adversarial networks; 2018 ;Generative Adversarial Networks
477;Generative adversarial networks recover features in astrophysical images of galaxies beyond the deconvolution limit; 2017 ;Generative Adversarial Networks
478;Deep generative adversarial networks for image-to-image translation: A review; 2020 ;Generative Adversarial Networks
479;Salgan360: Visual saliency prediction on 360 degree images with generative adversarial networks; 2018 ;Generative Adversarial Networks
480;Topologygan: Topology optimization using generative adversarial networks based on physical fields over the initial domain; 2021 ;Generative Adversarial Networks
481;Deep learning: Generative adversarial networks and adversarial methods; 2020 ;Generative Adversarial Networks
482;Generative adversarial network based telecom fraud detection at the receiving bank; 2018 ;Generative Adversarial Networks
483;Remote sensing image spatiotemporal fusion using a generative adversarial network; 2020 ;Generative Adversarial Networks
484;Insufficient data generative model for pipeline network leak detection using generative adversarial networks; 2020 ;Generative Adversarial Networks
485;Face reconstruction from voice using generative adversarial networks; 2019 ;Generative Adversarial Networks
486;Interactive example-based terrain authoring with conditional generative adversarial networks; 2017 ;Generative Adversarial Networks
487;Brain MRI super-resolution using 3D generative adversarial networks; 2018 ;Generative Adversarial Networks
488;Generative adversarial networks for classification; 2017 ;Generative Adversarial Networks
489;El-gan: Embedding loss driven generative adversarial networks for lane detection; 2018 ;Generative Adversarial Networks
490;Estimating CT from MR abdominal images using novel generative adversarial networks; 2020 ;Generative Adversarial Networks
491;Synthesizing missing PET from MRI with cycle-consistent generative adversarial networks for Alzheimer's disease diagnosis; 2018 ;Generative Adversarial Networks
492;Generative adversarial networks for the design of acoustic metamaterials; 2021 ;Generative Adversarial Networks
493;Voice conversion from unaligned corpora using variational autoencoding wasserstein generative adversarial networks; 2017 ;Generative Adversarial Networks
494;Generative adversarial networks for anonymized healthcare of lung cancer patients; 2021 ;Generative Adversarial Networks
495;Automatic inference of demographic parameters using generative adversarial networks; 2021 ;Generative Adversarial Networks
496;[HTML] Seismic impedance inversion based on cycle-consistent generative adversarial network; 2022 ;Generative Adversarial Networks
497;Protecting intellectual property of generative adversarial networks from ambiguity attacks; 2021 ;Generative Adversarial Networks
498;Estimating the effects of continuous-valued interventions using generative adversarial networks; 2020 ;Generative Adversarial Networks
499;Deep neural network with generative adversarial networks pre-training for brain tumor classification based on MR images; 2020 ;Generative Adversarial Networks
0;Unsupervised image-to-image translation networks; 2017 ;Image Translation
1;Deep generative adversarial networks for image-to-image translation: A review; 2020 ;Image Translation
2;Multimodal unsupervised image-to-image translation; 2018 ;Image Translation
3;Toward multimodal image-to-image translation; 2017 ;Image Translation
4;Conditional image-to-image translation; 2018 ;Image Translation
5;Image to image translation for domain adaptation; 2018 ;Image Translation
6;Image-to-image translation: Methods and applications; 2021 ;Image Translation
7;Few-shot unsupervised image-to-image translation; 2019 ;Image Translation
8;Dualgan: Unsupervised dual learning for image-to-image translation; 2017 ;Image Translation
9;Image-to-image translation with conditional adversarial networks; 2017 ;Image Translation
10;Encoding in style: a stylegan encoder for image-to-image translation; 2021 ;Image Translation
11;Instagan: Instance-aware image-to-image translation; 2018 ;Image Translation
12;Contrastive learning for unpaired image-to-image translation; 2020 ;Image Translation
13;Unaligned image-to-image translation by learning to reweight; 2021 ;Image Translation
14;Stargan: Unified generative adversarial networks for multi-domain image-to-image translation; 2018 ;Image Translation
15;Diverse image-to-image translation via disentangled representations; 2018 ;Image Translation
16;Unsupervised attention-guided image-to-image translation; 2018 ;Image Translation
17;Rethinking the truly unsupervised image-to-image translation; 2021 ;Image Translation
18;Image-to-image translation for cross-domain disentanglement; 2018 ;Image Translation
19;Quantum image translation; 2015 ;Image Translation
20;Drit++: Diverse image-to-image translation via disentangled representations; 2020 ;Image Translation
21;Transgaga: Geometry-aware unsupervised image-to-image translation; 2019 ;Image Translation
22;Dunit: Detection-based unsupervised image-to-image translation; 2020 ;Image Translation
23;Dual contrastive learning for unsupervised image-to-image translation; 2021 ;Image Translation
24;Unsupervised image-to-image translation with generative adversarial networks; 2017 ;Image Translation
25;Tsit: A simple and versatile framework for image-to-image translation; 2020 ;Image Translation
26;Reusing discriminators for encoding: Towards unsupervised image-to-image translation; 2020 ;Image Translation
27;Overview of image-to-image translation by use of deep neural networks: denoising, super-resolution, modality conversion, and reconstruction in medical imaging; 2019 ;Image Translation
28;MedGAN: Medical image translation using GANs; 2020 ;Image Translation
29;Relgan: Multi-domain image-to-image translation via relative attributes; 2019 ;Image Translation
30;Towards instance-level image-to-image translation; 2019 ;Image Translation
31;Unsupervised image translation.; 2003 ;Image Translation
32;Unrestricted facial geometry reconstruction using image-to-image translation; 2017 ;Image Translation
33;Smit: Stochastic multi-label image-to-image translation; 2019 ;Image Translation
34;Travelgan: Image-to-image translation by transformation vector learning; 2019 ;Image Translation
35;Unpaired image-to-image translation using cycle-consistent adversarial networks; 2017 ;Image Translation
36;Guided image-to-image translation with bi-directional feature transformation; 2019 ;Image Translation
37;CoMoGAN: continuous model-guided image-to-image translation; 2021 ;Image Translation
38;Image-to-image translation via hierarchical style disentanglement; 2021 ;Image Translation
39;Improving shape deformation in unsupervised image-to-image translation; 2018 ;Image Translation
40;Xgan: Unsupervised image-to-image translation for many-to-many mappings; 2020 ;Image Translation
41;[HTML] MRI cross-modality image-to-image translation; 2020 ;Image Translation
42;Multi-mapping image-to-image translation via learning disentanglement; 2019 ;Image Translation
43;Unbalanced feature transport for exemplar-based image translation; 2021 ;Image Translation
44;Unsupervised multi-modal image registration via geometry preserving image-to-image translation; 2020 ;Image Translation
45;Cross-domain correspondence learning for exemplar-based image translation; 2020 ;Image Translation
46;Domain adaptive image-to-image translation; 2020 ;Image Translation
47;Quality-aware unpaired image-to-image translation; 2019 ;Image Translation
48;Spa-gan: Spatial attention gan for image-to-image translation; 2020 ;Image Translation
49;Semi-supervised learning for few-shot image-to-image translation; 2020 ;Image Translation
50;Exemplar guided unsupervised image-to-image translation with semantic consistency; 2018 ;Image Translation
51;A unified feature disentangler for multi-domain image translation and manipulation; 2018 ;Image Translation
52;Harmonic unpaired image-to-image translation; 2019 ;Image Translation
53;Night-to-day image translation for retrieval-based localization; 2019 ;Image Translation
54;Asymmetric GAN for unpaired image-to-image translation; 2019 ;Image Translation
55;Memory-guided unsupervised image-to-image translation; 2021 ;Image Translation
56;Unsupervised image-to-image translation with stacked cycle-consistent adversarial networks; 2018 ;Image Translation
57;Cocosnet v2: Full-resolution correspondence learning for image translation; 2021 ;Image Translation
58;Attention-guided generative adversarial networks for unsupervised image-to-image translation; 2019 ;Image Translation
59;Distribution matching losses can hallucinate features in medical image translation; 2018 ;Image Translation
60;Sem-GAN: semantically-consistent image-to-image translation; 2019 ;Image Translation
61;Attentiongan: Unpaired image-to-image translation using attention-guided generative adversarial networks; 2021 ;Image Translation
62;Learning fixed points in generative adversarial networks: From image-to-image translation to disease detection and localization; 2019 ;Image Translation
63;Co-evolutionary compression for unpaired image translation; 2019 ;Image Translation
64;The spatially-correlative loss for various image translation tasks; 2021 ;Image Translation
65;Spatially-adaptive pixelwise networks for fast image translation; 2021 ;Image Translation
66;Tuigan: Learning versatile image-to-image translation with two unpaired images; 2020 ;Image Translation
67;Generative adversarial networks for image-to-image translation on multi-contrast mr images-a comparison of cyclegan and unit; 2018 ;Image Translation
68;FairfaceGAN: Fairness-aware facial image-to-image translation; 2020 ;Image Translation
69;Unpaired image-to-image translation using adversarial consistency loss; 2020 ;Image Translation
70;Unified generative adversarial networks for controllable image-to-image translation; 2020 ;Image Translation
71;Direct speech-to-image translation; 2020 ;Image Translation
72;U-gat-it: Unsupervised generative attentional networks with adaptive layer-instance normalization for image-to-image translation; 2019 ;Image Translation
73;Ganhopper: Multi-hop gan for unsupervised image-to-image translation; 2020 ;Image Translation
74;Transfer learning for related reinforcement learning tasks via image-to-image translation; 2019 ;Image Translation
75;Atrous cgan for sar to optical image translation; 2020 ;Image Translation
76;Domain bridge for unpaired image-to-image translation and unsupervised domain adaptation; 2020 ;Image Translation
77;Image-to-image translation via group-wise deep whitening-and-coloring transformation; 2019 ;Image Translation
78;High-resolution photorealistic image translation in real-time: A laplacian pyramid translation network; 2021 ;Image Translation
79;Unsupervised medical image translation using cycle-MedGAN; 2019 ;Image Translation
80;Art2real: Unfolding the reality of artworks via semantically-aware image-to-image translation; 2019 ;Image Translation
81;Generating large labeled data sets for laparoscopic image processing tasks using unpaired image-to-image translation; 2019 ;Image Translation
82;Vr facial animation via multiview image translation; 2019 ;Image Translation
83;Distilling portable generative adversarial networks for image translation; 2020 ;Image Translation
84;Describe what to change: A text-guided unsupervised image-to-image translation approach; 2020 ;Image Translation
85;Discriminative region proposal adversarial networks for high-quality image-to-image translation; 2018 ;Image Translation
86;A novel framework for image-to-image translation and image compression; 2022 ;Image Translation
87;Homomorphic latent space interpolation for unpaired image-to-image translation; 2019 ;Image Translation
88;Cross-domain car detection using unsupervised image-to-image translation: From day to night; 2019 ;Image Translation
89;Dual generator generative adversarial networks for multi-domain image-to-image translation; 2018 ;Image Translation
90;[LIVRE] Generative adversarial networks with python: deep learning generative models for image synthesis and image translation;J Brownlee ;Image Translation
91;In2i: Unsupervised multi-image-to-image translation using generative adversarial networks; 2018 ;Image Translation
92;Unsupervised image-to-image translation using domain-specific variational information bound; 2018 ;Image Translation
93;Bi-level feature alignment for versatile image translation and manipulation; 2022 ;Image Translation
94;Reversible gans for memory-efficient image-to-image translation; 2019 ;Image Translation
95;Interactive sketch & fill: Multiclass sketch-to-image translation; 2019 ;Image Translation
96;Multimodal structure-consistent image-to-image translation; 2020 ;Image Translation
97;Transformation consistency regularization–a semi-supervised paradigm for image-to-image translation; 2020 ;Image Translation
98;SAR-to-optical image translation using supervised cycle-consistent adversarial networks; 2019 ;Image Translation
99;Simplified unsupervised image translation for semantic segmentation adaptation; 2020 ;Image Translation
100;Unsupervised image translation using adversarial networks for improved plant disease recognition; 2020 ;Image Translation
101;Unsupervised image-to-image translation via pre-trained stylegan2 network; 2021 ;Image Translation
102;Image-to-image translation using generative adversarial network; 2019 ;Image Translation
103;Multi-channel attention selection gans for guided image-to-image translation; 2020 ;Image Translation
104;Segmentation guided image-to-image translation with adversarial networks; 2019 ;Image Translation
105;Da-gan: Instance-level image translation by deep attention generative adversarial networks; 2018 ;Image Translation
106;Deep learning thermal image translation for night vision perception; 2020 ;Image Translation
107;Latent filter scaling for multimodal unsupervised image-to-image translation; 2019 ;Image Translation
108;Adversarial inverse graphics networks: Learning 2d-to-3d lifting and image-to-image translation from unpaired supervision; 2017 ;Image Translation
109;Singlegan: Image-to-image translation by a single-generator network using multiple generative adversarial learning; 2018 ;Image Translation
110;[HTML] Generative image translation for data augmentation in colorectal histopathology images; 2019 ;Image Translation
111;Probabilistic plant modeling via multi-view image-to-image translation; 2018 ;Image Translation
112;Image translation for single-shot focal tomography; 2015 ;Image Translation
113;Multi-channel attention selection gan with cascaded semantic guidance for cross-view image translation; 2019 ;Image Translation
114;Image-to-image translation using a cross-domain auto-encoder and decoder; 2019 ;Image Translation
115;Toward learning a unified many-to-many mapping for diverse image translation; 2019 ;Image Translation
116;Combogan: Unrestrained scalability for image domain translation; 2018 ;Image Translation
117;One-to-one Mapping for Unpaired Image-to-image Translation; 2020 ;Image Translation
118;[HTML] Sar-to-optical image translation based on conditional generative adversarial networks—Optimization, opportunities and limits; 2019 ;Image Translation
119;Crossing-domain generative adversarial networks for unsupervised multi-domain image-to-image translation; 2018 ;Image Translation
120;Coco-funit: Few-shot unsupervised image translation with a content conditioned style encoder; 2020 ;Image Translation
121;Multi-component image translation for deep domain generalization; 2019 ;Image Translation
122;Exploring explicit domain supervision for latent space disentanglement in unpaired image-to-image translation; 2019 ;Image Translation
123;Closing the loop: Joint rain generation and removal via disentangled image translation; 2021 ;Image Translation
124;Semantically adaptive image-to-image translation for domain adaptation of semantic segmentation; 2020 ;Image Translation
125;Feature-guided SAR-to-optical image translation; 2020 ;Image Translation
126;Deceiving image-to-image translation networks for autonomous driving with adversarial perturbations; 2020 ;Image Translation
127;Augmenting colonoscopy using extended and directional cyclegan for lossy image translation; 2020 ;Image Translation
128;Unit-ddpm: Unpaired image translation with denoising diffusion probabilistic models; 2021 ;Image Translation
129;SDIT: Scalable and diverse cross-domain image translation; 2019 ;Image Translation
130;Model-based occlusion disentanglement for image-to-image translation; 2020 ;Image Translation
131;Deformation-aware unpaired image translation for pose estimation on laboratory animals; 2020 ;Image Translation
132;Scientific discovery by generating counterfactuals using image translation; 2020 ;Image Translation
133;Generative image translation for data augmentation of bone lesion pathology; 2019 ;Image Translation
134;Learning image-to-image translation using paired and unpaired training samples; 2018 ;Image Translation
135;Thermalgan: Multimodal color-to-thermal image translation for person re-identification in multispectral dataset; 2018 ;Image Translation
136;Zstgan: An adversarial approach for unsupervised zero-shot image-to-image translation; 2021 ;Image Translation
137;A SAR-to-optical image translation method based on conditional generation adversarial network (cGAN); 2020 ;Image Translation
138;Show, attend, and translate: Unsupervised image translation with self-regularization and attention; 2019 ;Image Translation
139;[HTML] Data augmentation using image translation for underwater sonar image segmentation; 2022 ;Image Translation
140;Thermal to visible facial image translation using generative adversarial networks; 2018 ;Image Translation
141;SemI2I: Semantically consistent image-to-image translation for domain adaptation of remote sensing data; 2020 ;Image Translation
142;[HTML] Generative reversible data hiding by image-to-image translation via GANs; 2019 ;Image Translation
143;GANILLA: Generative adversarial networks for image to illustration translation; 2020 ;Image Translation
144;Unsupervised multi-domain image translation with domain-specific encoders/decoders; 2018 ;Image Translation
145;Disrupting image-translation-based deepfake algorithms with adversarial attacks; 2020 ;Image Translation
146;Egsde: Unpaired image-to-image translation via energy-guided stochastic differential equations; 2022 ;Image Translation
147;Cross-domain medical image translation by shared latent Gaussian mixture model; 2020 ;Image Translation
148;Disrupting deepfakes: Adversarial attacks against conditional image translation networks and facial manipulation systems; 2020 ;Image Translation
149;PoseGAN: A pose-to-image translation framework for camera localization; 2020 ;Image Translation
150;Image-to-image translation using identical-pair adversarial networks; 2019 ;Image Translation
151;Multi-mapping image-to-image translation with central biasing normalization; 2018 ;Image Translation
152;Gan-based virtual-to-real image translation for urban scene semantic segmentation; 2020 ;Image Translation
153;Lc-gan: Image-to-image translation based on generative adversarial network for endoscopic images; 2020 ;Image Translation
154;Image-to-image translation for enhanced feature matching, image retrieval and visual localization; 2019 ;Image Translation
155;Image translation between SAR and optical imagery with generative adversarial nets; 2018 ;Image Translation
156;Unsupervised Medical Image Translation with Adversarial Diffusion Models; 2022 ;Image Translation
157;[PDF] Boosting segmentation with weak supervision from image-to-image translation; 2019 ;Image Translation
158;Image-to-image translation with multi-path consistency regularization; 2019 ;Image Translation
159;Improving surgical training phantoms by hyperrealism: deep unpaired image-to-image translation from real surgeries; 2018 ;Image Translation
160;Cross domain adaptation for on-road object detection using multimodal structure-consistent image-to-image translation; 2019 ;Image Translation
161;Xogan: One-to-many unsupervised image-to-image translation; 2018 ;Image Translation
162;Dialectical GAN for SAR image translation: From Sentinel-1 to TerraSAR-X; 2018 ;Image Translation
163;Image-guided surgery using invisible near-infrared light: fundamentals of clinical translation; 2010 ;Image Translation
164;GANs N'Roses: Stable, Controllable, Diverse Image to Image Translation (works for videos too!); 2021 ;Image Translation
165;IR2VI: enhanced night environmental perception by unsupervised thermal image translation; 2018 ;Image Translation
166;Autonomous driving in reality with reinforcement learning and image translation; 2018 ;Image Translation
167;[HTML] Attention-aware discrimination for MR-to-CT image translation using cycle-consistent generative adversarial networks; 2020 ;Image Translation
168;A crowdsourcing based mobile image translation and knowledge sharing service; 2010 ;Image Translation
169;Gmm-unit: Unsupervised multi-domain and multi-modal image-to-image translation via attribute gaussian mixture modeling; 2020 ;Image Translation
170;Deep image translation with an affinity-based change prior for unsupervised multimodal change detection; 2021 ;Image Translation
171;[HTML] GAN meets chemometrics: Segmenting spectral images with pixel2pixel image translation with conditional generative adversarial networks; 2021 ;Image Translation
172;A unified conditional disentanglement framework for multimodal brain mr image translation; 2021 ;Image Translation
173;[PDF] Semantics-aware image to image translation and domain transfer; 2019 ;Image Translation
174;Image-to-image translation with GAN for synthetic data augmentation in plant disease datasets; 2019 ;Image Translation
175;Mix and match networks: encoder-decoder alignment for zero-pair image translation; 2018 ;Image Translation
176;Gan-based unpaired chinese character image translation via skeleton transformation and stroke rendering; 2020 ;Image Translation
177;Efficient high-resolution image-to-image translation using multi-scale gradient u-net; 2022 ;Image Translation
178;Improving the quality of synthetic FLAIR images with deep learning using a conditional generative adversarial network for pixel-by-pixel image translation; 2019 ;Image Translation
179;Alignment of cryo-EM movies of individual particles by optimization of image translations; 2015 ;Image Translation
180;Learning spatial pyramid attentive pooling in image synthesis and image-to-image translation; 2019 ;Image Translation
181;Desmoking laparoscopy surgery images using an image-to-image translation guided by an embedded dark channel; 2020 ;Image Translation
182;[HTML] Synthesis of COVID-19 chest X-rays using unpaired image-to-image translation; 2021 ;Image Translation
183;[HTML] Facial attribute-controlled sketch-to-image translation with generative adversarial networks; 2020 ;Image Translation
184;Asymmetric CycleGan for unpaired NIR-to-RGB face image translation; 2019 ;Image Translation
185;T2net: Synthetic-to-realistic translation for solving single-image depth estimation tasks; 2018 ;Image Translation
186;ResAttr-GAN: Unpaired deep residual attributes learning for multi-domain face image translation; 2019 ;Image Translation
187;Uctgan: Diverse image inpainting based on unsupervised cross-space translation; 2020 ;Image Translation
188;Global and local translation designs of quantum image based on FRQI; 2017 ;Image Translation
189;Points2pix: 3d point-cloud to image translation using conditional generative adversarial networks; 2019 ;Image Translation
190;Projection image-to-image translation in hybrid X-ray/MR imaging; 2019 ;Image Translation
191;Deep networks for image-to-image translation with mux and demux layers; 2018 ;Image Translation
192;Word level font-to-font image translation using convolutional recurrent generative adversarial networks; 2018 ;Image Translation
193;Perceptual-DualGAN: perceptual losses for image to image translation with generative adversarial nets; 2018 ;Image Translation
194;A pipeline for hand 2-D keypoint localization using unpaired image to image translation; 2021 ;Image Translation
195;Seamless nudity censorship: an image-to-image translation approach based on adversarial training; 2018 ;Image Translation
196;Multimodal pivots for image caption translation; 2016 ;Image Translation
197;Rotation, scale and translation invariant digital image watermarking; 1997 ;Image Translation
198;Text-to-image-to-text translation using cycle consistent adversarial networks; 2018 ;Image Translation
199;Diagonal attention and style-based gan for content-style disentanglement in image generation and translation; 2021 ;Image Translation
200;Translation insensitive image similarity in complex wavelet domain; 2005 ;Image Translation
201;Appearance generation for colored spun yarn fabric based on conditional image‐to‐image translation; 2022 ;Image Translation
202;[PDF] A shared task on multimodal machine translation and crosslingual image description; 2016 ;Image Translation
203;An FFT-based technique for translation, rotation, and scale-invariant image registration; 1996 ;Image Translation
204;Controllable image-to-video translation: A case study on facial expression generation; 2019 ;Image Translation
205;Superresolution digital image enhancement by subpixel image translation with a scanning micromirror; 2007 ;Image Translation
206;Translation-invariant contourlet transform and its application to image denoising; 2006 ;Image Translation
207;SAR-to-optical image translation using SSIM and perceptual loss based cycle-consistent GAN; 2020 ;Image Translation
208;Guidance for horizontal image translation (HIT) of high definition stereoscopic video production; 2011 ;Image Translation
209;Twin-GAN--unpaired cross-domain image translation with weight-sharing GANs; 2018 ;Image Translation
210;Rotation, scale and translation invariant spread spectrum digital image watermarking; 1998 ;Image Translation
211;Sym-parameterized dynamic inference for mixed-domain image translation; 2019 ;Image Translation
212;High-resolution daytime translation without domain labels; 2020 ;Image Translation
213;[PDF] ESTHER: Extremely Simple Image Translation Through Self-Regularization.; 2018 ;Image Translation
214;Roto-translation covariant convolutional networks for medical image analysis; 2018 ;Image Translation
215;[LIVRE] Between text and image: updating research in screen translation; C Bucaria ;Image Translation
216;Deep cg2real: Synthetic-to-real translation via image disentanglement; 2019 ;Image Translation
217;Transverse image translation using an optical freeform single lens; 2015 ;Image Translation
218;Unsupervised video-to-video translation; 2018 ;Image Translation
219;Improved digital watermark robustness against translation and/or cropping of an image area; 2000 ;Image Translation
220;Triple-translation GAN with multi-layer sparse representation for face image synthesis; 2019 ;Image Translation
221;Object recognition as machine translation: Learning a lexicon for a fixed image vocabulary; 2002 ;Image Translation
222;Pet image denoising using unsupervised domain translation; 2021 ;Image Translation
223;Using out-of-the-box frameworks for contrastive unpaired image translation for vestibular schwannoma and cochlea segmentation: An approach for the crossmoda …; 2022 ;Image Translation
224;Optimal motion control for image-based visual servoing by decoupling translation and rotation; 1998 ;Image Translation
225;BargainNet: Background-guided domain translation for image harmonization; 2021 ;Image Translation
226;Multimodal image-to-image translation via a single generative adversarial network; 2022 ;Image Translation
227;Unpaired Image Translation via Vector Symbolic Architectures; 2022 ;Image Translation
228;Image translation between high-resolution remote sensing optical and SAR data using conditional GAN; 2018 ;Image Translation
229;Image-based visual servo control of the translation kinematics of a quadrotor aerial vehicle; 2009 ;Image Translation
230;[PDF] Lexical translation with application to image searching on the web; 2007 ;Image Translation
231;Facial image-to-video translation by a hidden affine transformation; 2019 ;Image Translation
232;Unsupervised transformation network based on GANs for target-domain oriented image translation; 2018 ;Image Translation
